edge_id,node1,node2,intra_inter
1,34,1,-1
2,78,1,1
3,103,1,1
4,159,1,1
5,187,1,1
6,189,1,1
7,41,2,-1
8,67,2,1
9,86,2,1
10,157,2,1
11,181,2,1
12,197,2,1
13,105,3,1
14,107,3,1
15,122,3,1
16,132,3,1
17,139,3,1
18,199,3,-1
19,76,4,-1
20,234,4,1
21,239,4,1
22,243,4,1
23,244,4,1
24,249,4,1
25,19,5,1
26,43,5,1
27,56,5,1
28,84,5,-1
29,144,5,1
30,174,5,1
31,21,6,1
32,65,6,-1
33,149,6,1
34,160,6,1
35,161,6,1
36,239,6,-1
37,60,7,1
38,64,7,1
39,117,7,1
40,119,7,1
41,152,7,1
42,233,7,-1
43,76,8,-1
44,87,8,1
45,114,8,1
46,148,8,-1
47,163,8,1
48,175,8,1
49,15,9,-1
50,59,9,1
51,129,9,1
52,156,9,1
53,210,9,1
54,27,10,1
55,116,10,1
56,129,10,1
57,171,10,1
58,193,10,-1
59,210,10,1
60,12,11,-1
61,146,11,1
62,158,11,1
63,170,11,1
64,203,11,1
65,206,11,1
66,57,12,1
67,99,12,1
68,156,12,1
69,171,12,1
70,210,12,1
71,39,14,-1
72,143,14,1
73,180,14,-1
74,191,14,1
75,193,14,1
76,196,14,1
77,97,15,-1
78,137,15,1
79,140,15,1
80,187,15,1
81,189,15,1
82,28,16,1
83,36,16,-1
84,86,16,1
85,131,16,1
86,197,16,1
87,234,17,1
88,241,17,1
89,243,17,1
90,244,17,1
91,245,17,-1
92,249,17,1
93,65,18,1
94,83,18,1
95,98,18,-1
96,100,18,1
97,126,18,1
98,225,18,-1
99,32,19,1
100,77,19,-1
101,135,19,1
102,174,19,1
103,245,19,-1
104,66,20,1
105,88,20,1
106,101,20,1
107,127,20,1
108,246,20,-1
109,51,21,1
110,55,21,1
111,136,21,1
112,184,21,-1
113,232,21,-1
114,38,22,-1
115,72,22,1
116,82,22,1
117,124,22,1
118,168,22,1
119,180,22,-1
120,63,23,1
121,66,23,1
122,88,23,1
123,101,23,1
124,127,23,1
125,184,23,-1
126,81,24,-1
127,95,24,1
128,123,24,1
129,170,24,1
130,203,24,1
131,206,24,1
132,50,25,1
133,64,25,1
134,117,25,1
135,126,25,-1
136,152,25,1
137,162,25,1
138,32,26,1
139,56,26,1
140,61,26,1
141,128,26,-1
142,135,26,1
143,174,26,1
144,59,27,1
145,99,27,1
146,208,27,-1
147,210,27,1
148,211,27,-1
149,44,28,-1
150,131,28,1
151,157,28,1
152,181,28,1
153,197,28,1
154,220,29,-1
155,234,29,1
156,241,29,1
157,243,29,1
158,244,29,1
159,249,29,1
160,74,30,-1
161,97,30,1
162,118,30,1
163,154,30,1
164,179,30,1
165,192,30,1
166,185,31,1
