node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,4
7,6
8,4
9,7
10,7
11,8
12,7
13,0
14,9
15,1
16,2
17,4
18,10
19,3
20,11
21,4
22,12
23,11
24,8
25,6
26,13
27,7
28,2
29,4
30,14
31,8
32,13
33,4
34,2
35,12
36,12
37,4
38,2
39,13
40,4
41,2
42,14
43,5
44,15
45,12
46,12
47,14
48,15
49,14
50,6
51,4
52,9
53,16
54,3
55,4
56,5
57,7
58,14
59,7
60,6
61,13
62,17
63,11
64,6
65,10
66,11
67,2
68,9
69,16
70,16
71,17
72,12
73,18
74,4
75,4
76,3
77,3
78,1
79,19
80,10
81,12
82,12
83,10
84,20
85,4
86,2
87,4
88,11
89,4
90,18
91,10
92,9
93,1
94,15
95,8
96,4
97,14
98,4
99,7
100,10
101,11
102,4
103,1
104,15
105,3
106,8
107,3
108,6
109,5
110,10
111,9
112,10
113,4
114,4
115,9
116,7
117,6
118,14
119,6
120,18
121,16
122,3
123,8
124,12
125,15
126,10
127,11
128,8
129,7
130,4
131,2
132,3
133,12
134,4
135,13
136,4
137,1
138,4
139,3
140,1
141,16
142,14
143,9
144,13
145,15
146,8
147,14
148,16
149,4
150,14
151,15
152,6
153,4
154,14
155,18
156,7
157,2
158,8
159,1
160,4
161,4
162,6
163,4
164,9
165,9
166,15
167,17
168,12
169,15
170,8
171,7
172,4
173,16
174,13
175,4
176,18
177,18
178,16
179,14
180,15
181,2
182,4
183,16
184,15
185,8
186,20
187,1
188,15
189,1
190,18
191,9
192,14
193,9
194,20
195,16
196,9
197,2
198,18
199,4
200,15
201,4
202,4
203,8
204,15
205,4
206,8
207,17
208,17
209,19
210,7
211,19
212,4
213,17
214,4
215,19
216,17
217,15
218,4
219,4
220,4
221,19
222,15
223,17
224,19
225,17
226,17
227,17
228,4
229,19
230,19
231,19
232,15
233,17
234,4
235,19
236,15
237,15
238,19
239,4
240,4
241,4
242,19
243,4
244,4
245,19
246,19
247,19
248,19
249,4
250,19
