edge_id,node1,node2,intra_inter
1,103,1,1
2,130,1,1
3,137,1,1
4,187,1,1
5,189,1,1
6,218,1,-1
7,16,2,1
8,86,2,1
9,131,2,1
10,149,2,-1
11,181,2,1
12,197,2,1
13,23,3,-1
14,76,3,1
15,77,3,1
16,107,3,1
17,122,3,1
18,139,3,1
19,74,4,-1
20,239,4,1
21,241,4,1
22,243,4,1
23,244,4,1
24,249,4,1
25,10,5,1
26,19,5,1
27,26,5,1
28,39,5,1
29,135,5,1
30,233,5,-1
31,51,6,1
32,85,6,1
33,136,6,1
34,148,6,-1
35,149,6,1
36,161,6,1
37,41,7,1
38,50,7,1
39,108,7,1
40,117,7,1
41,162,7,1
42,246,7,-1
43,134,8,1
44,172,8,1
45,175,8,1
46,180,8,-1
47,182,8,-1
48,191,8,1
49,12,9,1
50,40,9,1
51,116,9,1
52,129,9,1
53,156,9,1
54,242,9,-1
55,32,10,1
56,39,10,1
57,61,10,1
58,135,10,1
59,191,10,-1
60,21,11,-1
61,106,11,1
62,158,11,1
63,159,11,1
64,203,11,1
65,206,11,1
66,59,12,1
67,116,12,1
68,129,12,1
69,140,12,-1
70,156,12,1
71,90,13,1
72,171,13,1
73,177,13,1
74,190,13,1
75,194,13,-1
76,198,13,1
77,68,14,1
78,143,14,1
79,165,14,1
80,196,14,1
81,225,14,-1
82,247,14,-1
83,89,15,-1
84,103,15,1
85,130,15,1
86,167,15,-1
87,187,15,1
88,189,15,1
89,67,16,1
90,157,16,1
91,181,16,1
92,197,16,1
93,246,16,-1
94,234,17,1
95,239,17,1
96,241,17,1
97,243,17,1
98,244,17,1
99,249,17,1
100,131,18,-1
101,194,18,1
102,200,18,1
103,204,18,1
104,207,18,1
105,232,18,-1
106,26,19,1
107,32,19,1
108,61,19,1
109,186,19,-1
110,199,19,-1
111,48,20,1
112,66,20,1
113,88,20,1
114,100,20,1
115,127,20,1
116,233,20,-1
117,143,21,1
118,164,21,1
119,165,21,1
120,196,21,1
121,231,21,-1
122,36,22,1
123,69,22,-1
124,75,22,1
125,124,22,1
126,168,22,1
127,216,22,-1
128,145,23,1
129,151,23,1
130,180,23,1
131,188,23,1
132,250,23,-1
133,76,24,-1
134,106,24,1
135,123,24,1
136,146,24,1
137,203,24,1
138,206,24,1
139,50,25,1
140,64,25,1
141,77,25,-1
142,108,25,1
143,117,25,1
144,162,25,1
145,43,26,1
146,61,26,1
147,135,26,1
148,187,26,-1
149,57,27,1
150,59,27,1
151,108,27,-1
152,116,27,1
153,156,27,1
154,190,27,-1
155,34,28,1
156,38,28,1
157,119,28,1
158,131,28,1
159,181,28,1
160,197,28,1
161,197,29,-1
162,234,29,1
163,239,29,1
164,243,29,1
165,244,29,1
166,249,29,1
167,40,30,-1
168,58,30,1
169,83,30,-1
170,97,30,1
171,142,30,1
172,179,30,1
173,145,31,-1
174,174,31,1
175,202,31,1
176,212,31,1
177,214,31,1
178,220,31,1
179,43,32,1
180,61,32,1
181,135,32,1
182,233,32,-1
183,188,33,-1
184,234,33,1
185,241,33,1
186,243,33,1
187,244,33,1
188,249,33,1
189,119,34,1
190,131,34,1
191,157,34,1
192,197,34,1
193,203,34,-1
194,36,35,1
195,75,35,1
196,118,35,-1
197,124,35,1
198,133,35,1
199,168,35,1
200,82,36,1
201,138,36,-1
202,168,36,1
203,243,36,-1
204,87,37,1
205,111,37,-1
206,163,37,1
207,172,37,1
208,175,37,1
209,191,37,1
