edge_id,node1,node2,intra_inter
1,103,1,1
2,134,1,-1
3,154,1,1
4,159,1,1
5,233,1,1
6,60,2,1
7,132,2,1
8,146,2,1
9,180,2,1
10,188,2,1
11,248,2,-1
12,18,3,1
13,25,3,-1
14,39,3,1
15,117,3,1
16,237,3,1
17,249,3,1
18,172,4,1
19,234,4,1
20,239,4,1
21,240,4,1
22,241,4,1
23,243,4,1
24,20,5,1
25,32,5,1
26,149,5,1
27,168,5,1
28,232,5,-1
29,247,5,1
30,17,6,1
31,21,6,1
32,52,6,-1
33,160,6,1
34,161,6,1
35,244,6,-1
36,162,7,1
37,208,7,-1
38,213,7,1
39,215,7,1
40,237,7,1
41,249,7,1
42,63,8,-1
43,126,8,1
44,160,8,-1
45,175,8,1
46,183,8,1
47,190,8,1
48,54,9,1
49,121,9,1
50,122,9,1
51,140,9,-1
52,144,9,1
53,188,9,1
54,27,10,1
55,76,10,1
56,114,10,1
57,129,10,1
58,209,10,-1
59,96,11,-1
60,105,11,1
61,185,11,1
62,196,11,1
63,208,11,1
64,212,11,1
65,51,12,1
66,89,12,1
67,136,12,1
68,160,12,1
69,161,12,1
70,212,12,-1
71,53,13,-1
72,155,13,1
73,176,13,1
74,198,13,1
75,68,14,1
76,87,14,1
77,165,14,1
78,177,14,1
79,212,14,-1
80,238,14,-1
81,45,15,-1
82,103,15,1
83,154,15,1
84,159,15,1
85,202,15,-1
86,233,15,1
87,101,16,-1
88,238,16,1
89,245,16,1
90,246,16,1
91,248,16,1
92,250,16,1
93,51,17,1
94,89,17,1
95,135,17,1
96,161,17,1
97,236,17,-1
98,128,18,1
99,203,18,-1
100,232,18,1
101,236,18,1
102,241,18,-1
103,77,19,-1
104,148,19,1
105,150,19,1
106,169,19,1
107,184,19,1
108,219,19,-1
109,63,20,1
110,82,20,1
111,86,20,1
112,88,20,-1
113,247,20,1
114,131,21,1
115,151,21,1
116,160,21,1
117,227,21,-1
118,233,21,-1
119,65,22,1
120,108,22,-1
121,125,22,-1
122,133,22,1
123,168,22,1
124,247,22,1
125,27,23,-1
126,66,23,1
127,86,23,1
128,149,23,1
129,182,23,-1
130,247,23,1
131,136,24,-1
132,158,24,1
133,170,24,1
134,203,24,1
135,225,24,1
136,244,24,1
137,203,25,1
138,206,25,1
139,221,25,1
140,225,25,1
141,244,25,1
142,78,26,-1
143,127,26,1
144,148,26,1
145,150,26,1
146,169,26,1
147,184,26,1
148,76,27,1
149,114,27,1
150,129,27,1
151,194,27,-1
152,122,28,1
153,132,28,1
154,144,28,1
155,180,28,1
156,188,28,1
157,221,28,-1
158,97,29,-1
159,200,29,1
160,234,29,1
161,239,29,1
162,241,29,1
163,243,29,1
164,110,30,1
165,124,30,1
166,143,30,1
167,188,30,-1
168,189,30,-1
169,216,30,1
170,119,31,1
171,205,31,1
172,222,31,1
173,223,31,1
174,242,31,-1
175,249,31,1
176,66,32,1
177,81,32,1
178,119,32,-1
179,168,32,1
180,247,32,1
181,68,33,1
182,87,33,1
183,115,33,1
184,165,33,1
185,177,33,1
186,226,33,-1
187,186,34,-1
188,189,34,1
189,191,34,1
190,197,34,1
191,228,34,1
192,229,34,1
193,113,35,1
194,146,35,-1
195,153,35,1
196,196,35,1
197,212,35,1
198,214,35,1
199,95,36,-1
200,189,36,1
